sample1,,0,1 mg mL,,EM-260 0,1,,EM-260 0,01,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
608,0.09325566888,608,0.0155741889,608,0.001139388653,608,0.0006471911329,
607,0.09307833016,607,0.01593664102,607,0.001106454409,607,0.0009219229105,
606,0.09351085871,606,0.0155919781,606,0.001379763009,606,0.0006581833004,
605,0.09305155277,605,0.01545174886,605,0.001237194287,605,0.0004104865366,
604,0.09263953567,604,0.01584132016,604,0.001261700992,604,0.0008159151184,
603,0.09211658686,603,0.0160365738,603,0.001221229322,603,0.0008590724901,
602,0.09232481569,602,0.01562833786,602,0.001248538843,602,0.0007485161768,
601,0.09181632102,601,0.01573235914,601,0.001105727744,601,0.0006793388166,
600,0.09195536375,600,0.0153381126,600,0.001184836496,600,0.0005943082506,
599,0.09209416062,599,0.0156236412,599,0.001227070112,599,0.000403283484,
598,0.09242068976,598,0.01561094914,598,0.001396097476,598,0.0009827069007,
597,0.09280188382,597,0.01575863734,597,0.001311445725,597,0.000695491326,
596,0.09299414605,596,0.01553225331,596,0.001385320327,596,0.0007614298374,
595,0.09265927225,595,0.01552315895,595,0.001156518701,595,0.001001050114,
594,0.09390850365,594,0.01572919264,594,0.001462843735,594,0.0008809381397,
593,0.09390583634,593,0.01556348335,593,0.001327258185,593,0.001032160129,
592,0.09395770729,592,0.01582658105,592,0.001391968341,592,0.0006806091988,
591,0.09426499158,591,0.01557829417,591,0.001420301502,591,0.000918861886,
590,0.0944269225,590,0.01574019715,590,0.001362442505,590,0.001063246396,
589,0.09421112388,589,0.01556377858,589,0.001350575592,589,0.001043655095,
588,0.09358184785,588,0.01575673185,588,0.001489960705,588,0.0006729868473,
587,0.09342925996,587,0.01563754119,587,0.00145455834,587,0.000848490221,
586,0.09333884716,586,0.01560936589,586,0.001372829545,586,0.0008980060229,
585,0.09309577942,585,0.01585423388,585,0.001614814159,585,0.0010590686,
584,0.09235222638,584,0.01625596546,584,0.001552590751,584,0.001113980543,
583,0.09289808571,583,0.01546290796,583,0.001642953954,583,0.00068986509,
582,0.09230025858,582,0.01580862142,582,0.001351951854,582,0.0007442376227,
581,0.09195814282,581,0.01555267069,581,0.001324531855,581,0.0008994326927,
580,0.09202692658,580,0.0156945698,580,0.001374673215,580,0.0007782596513,
579,0.09194464236,579,0.01571333036,579,0.001565684215,579,0.001000453369,
578,0.09146816283,578,0.01562949084,578,0.001757636899,578,0.001143541303,
577,0.09146822989,577,0.0157991983,577,0.001526768669,577,0.000906332687,
576,0.09124655277,576,0.01587909646,576,0.001485518995,576,0.001074949745,
575,0.09079709649,575,0.01589402556,575,0.001329361461,575,0.0008915989893,
574,0.09134100378,574,0.01609279402,574,0.00190074055,574,0.001040203962,
573,0.09060914814,573,0.01537651569,573,0.001614632201,573,0.0005832139868,
572,0.09120803326,572,0.01563206688,572,0.001631625113,572,0.0009499141597,
571,0.09121707082,571,0.01563579775,571,0.001776584657,571,0.0009985334473,
570,0.09169695526,570,0.01563950069,570,0.001503883512,570,0.0008090943447,
569,0.09144544601,569,0.01552659273,569,0.00173746841,569,0.0009271111339,
568,0.09441176802,568,0.01564572565,568,0.00180650258,568,0.0008886160213,
567,0.09425508976,567,0.01555183902,567,0.001678813482,567,0.0005881130346,
566,0.09390815347,566,0.0156834852,566,0.001641161041,566,0.0008280267357,
565,0.09391409904,565,0.0155333532,565,0.001792492112,565,0.001007692306,
564,0.09374127537,564,0.01527737733,564,0.001569035579,564,0.000827793323,
563,0.09335861355,563,0.01535487268,563,0.001746902708,563,0.0009170979611,
562,0.09318986535,562,0.01537630055,562,0.001931265113,562,0.0008675280842,
561,0.09285746515,561,0.01542543527,561,0.001806554617,561,0.001030629268,
560,0.09298988432,560,0.01524402294,560,0.00171467592,560,0.0007762109744,
559,0.09314925224,559,0.01517209597,559,0.001720133587,559,0.00114862842,
558,0.09306954592,558,0.01541977655,558,0.00173307606,558,0.001051050378,
557,0.09292828292,557,0.0154647585,557,0.001944890013,557,0.0008919621469,
556,0.09255348146,556,0.01555704419,556,0.002189795254,556,0.001153559773,
555,0.09236471355,555,0.01540647261,555,0.002140262164,555,0.0008752316935,
554,0.09234063327,554,0.01553566102,554,0.002352743177,554,0.000965791347,
